Player,Injury,Start Date,Return Date,Days Missed,Injury Category,Refined Injury Category
 Bradley Beal,sore right elbow,2024-10-26,2024-10-28,2,Elbow,Elbow
 Bradley Beal,sprained right elbow,2024-10-31,2024-11-02,2,Elbow,Elbow
 Bradley Beal,bruised left calf,2024-11-13,2024-11-25,12,Calf,Soft Tissue Injury
 Bradley Beal,left hamstring injury,2024-02-14,2024-03-02,17,Hamstring,Soft Tissue Injury
 Bradley Beal,tightness in lower back,2023-10-24,2023-11-08,15,Back,Back
 Bradley Beal,back spasms / strained lower back,2023-11-15,2023-12-29,44,Back,Back
 Bradley Beal,left calf injury,2024-11-30,2024-12-03,3,Calf,Soft Tissue Injury
 Bradley Beal,sprained left ankle,2025-01-22,2025-01-25,3,Ankle,Ankle
 Bradley Beal,sprained left ankle,2025-01-16,2025-01-20,4,Ankle,Ankle
 Brandin Podziemski,sore right knee,2024-03-01,2024-03-05,4,Knee,Knee
 Brandin Podziemski,illness,2024-11-06,2024-11-08,2,Unknown,General Ailments
 Brandin Podziemski,abdominal injury,2024-12-29,2025-01-23,25,Unknown,Unknown
 Brandon Boston Jr. / B.J. Boston Jr.,quadriceps injury,2023-10-25,2023-12-11,47,Unknown,Unknown
 Brandon Boston Jr. / B.J. Boston Jr.,illness,2023-12-12,2023-12-14,2,Unknown,General Ailments
 Brandon Clarke,sore left toe,2024-11-13,2024-11-15,2,Foot,Unknown
 Brandon Clarke,sore right knee,2024-12-29,2025-01-03,5,Knee,Knee
 Brandon Clarke,left Achilles injury,2024-04-04,2024-04-06,2,Ankle,Ankle
 Brandon Clarke,torn left Achilles tendon,2023-10-25,2024-03-27,154,Ankle,Ankle
 Brandon Clarke,sore back,2025-02-03,2025-02-05,2,Back,Back
 Brandon Ingram,sore right Achilles,2024-01-13,2024-01-15,2,Ankle,Ankle
 Brandon Ingram,sore knee,2023-11-01,2023-11-04,3,Knee,Knee
 Brandon Ingram,illness,2024-02-22,2024-02-25,3,Unknown,General Ailments
 Brandon Ingram,sore right calf,2024-11-25,2024-12-05,10,Calf,Soft Tissue Injury
 Brandon Ingram,bruised left knee,2024-03-22,2024-04-14,23,Knee,Knee
 Brandon Ingram,bilateral sprained ankles,2024-11-20,2024-11-22,2,Ankle,Ankle
 Brandon Miller,sprained left ankle,2024-12-28,2025-01-05,8,Ankle,Ankle
 Brandon Miller,sprained left ankle,2024-12-19,2024-12-26,7,Ankle,Ankle
 Brandon Miller,bruised lower back,2024-03-01,2024-03-03,2,Back,Back
 Brandon Miller,bruised lower back,2024-01-17,2024-01-19,2,Back,Back
 Brandon Miller,strained left gluteal muscle,2024-10-24,2024-11-02,9,Unknown,Unknown
 Brandon Miller,sprained right ankle,2023-12-26,2023-12-28,2,Ankle,Ankle
 Brandon Miller,bruised left hip,2024-01-02,2024-01-04,2,Hip,Unknown
 Brandon Miller,sprained left ankle,2023-11-30,2023-12-02,2,Ankle,Ankle
 Brandon Miller,sprained left ankle,2023-11-14,2023-11-17,3,Ankle,Ankle
 Brandon Williams (b. 1975-02-27),sprained right thumb,2024-12-09,2024-12-26,17,Unknown,Unknown
 Brandon Williams (b. 1975-02-27),sprained left wrist,2024-03-12,2024-03-19,7,Wrist,Wrist
 Braxton Key,illness,2024-02-22,2024-02-23,1,Unknown,General Ailments
 Brice Sensabaugh,sprained right ankle,2025-01-22,2025-01-24,2,Ankle,Ankle
 Brice Sensabaugh,sore left hip,2024-02-08,2024-02-12,4,Hip,Unknown
 Brice Sensabaugh,illness,2025-01-07,2025-01-12,5,Unknown,General Ailments
 Bronny James,illness,2025-01-13,2025-01-16,3,Unknown,General Ailments
 Bronny James,bruised left heel,2024-11-19,2024-12-07,18,Unknown,Unknown
 Brook Lopez,back injury,2025-02-03,2025-02-04,1,Back,Back
 Bruce Brown,bruised right knee,2023-12-26,2024-01-03,8,Knee,Knee
 Bruce Brown,bruised right knee,2024-01-06,2024-01-08,2,Knee,Knee
 Bruce Brown,right knee inflammation,2024-03-03,2024-03-11,8,Knee,Knee
 Bruce Brown,sore right knee,2024-04-03,2024-04-07,4,Knee,Knee
 Bruce Brown,right knee inflammation,2024-04-10,2024-04-12,2,Knee,Knee
 Bruce Brown,right knee injury,2025-01-09,2025-01-10,1,Knee,Knee
 Bruce Brown,placed on IL  surgery on right knee,2024-10-22,2024-12-29,68,Knee,Knee
 Bruce Brown,right knee injury,2025-01-01,2025-01-02,1,Knee,Knee
 Bruno Fernando,illness,2024-02-10,2024-02-12,2,Unknown,General Ailments
 Bruno Fernando,lower back spasms,2024-01-24,2024-02-02,9,Back,Back
 Bruno Fernando,left big toe injury,2024-12-29,2024-12-31,2,Foot,Unknown
 Bruno Fernando,sprained right ankle,2024-11-21,2024-11-24,3,Ankle,Ankle
 Bryce McGowens,left hip injury,2024-01-17,2024-01-20,3,Hip,Unknown
 Bryce McGowens,ankle injury,2023-10-25,2023-10-27,2,Ankle,Ankle
 Bryce McGowens,strained right knee,2024-03-09,2024-03-25,16,Knee,Knee
 C.J. McCollum,collapsed right lung,2023-11-05,2023-11-29,24,Unknown,Unknown
 C.J. McCollum,sprained left ankle,2024-02-24,2024-02-28,4,Ankle,Ankle
 C.J. McCollum,sprained right ankle,2024-01-13,2024-01-15,2,Ankle,Ankle
 C.J. McCollum,strained right adductor,2024-11-01,2024-11-25,24,Unknown,Unknown
 Cade Cunningham,hip injury,2024-11-22,2024-11-29,7,Hip,Unknown
 Cade Cunningham,left hip injury,2024-11-30,2024-12-02,2,Hip,Unknown
 Cade Cunningham,left knee injury,2024-03-18,2024-03-19,1,Knee,Knee
 Cade Cunningham,left knee injury,2024-01-28,2024-01-31,3,Knee,Knee
 Cade Cunningham,strained left knee,2024-01-08,2024-01-27,19,Knee,Knee
 Cade Cunningham,left knee injury,2024-03-24,2024-03-27,3,Knee,Knee
 Cade Cunningham,left knee injury,2024-02-07,2024-02-08,1,Knee,Knee
 Caleb Houstan,sore right ankle,2024-04-01,2024-04-08,7,Ankle,Ankle
 Caleb Houstan,illness,2025-02-03,2025-02-04,1,Unknown,General Ailments
 Caleb Martin,right shoulder impingement,2024-12-12,2024-12-21,9,Shoulder,Shoulder
 Caleb Martin,sore back,2024-11-27,2024-12-03,6,Back,Back
 Caleb Martin,right ankle injury,2024-03-30,2024-04-02,3,Ankle,Ankle
 Caleb Martin,sprained right ankle,2023-12-28,2024-01-12,15,Ankle,Ankle
 Caleb Martin,left knee tendinosis,2023-10-28,2023-11-15,18,Knee,Knee
 Cam Reddish,right groin injury,2023-11-30,2023-12-02,2,Groin,Groin
 Cam Reddish,left groin injury,2023-12-28,2023-12-30,2,Groin,Groin
 Cam Reddish,left groin injury,2023-12-31,2024-01-03,3,Groin,Groin
 Cam Reddish,sore left knee,2024-01-14,2024-01-21,7,Knee,Knee
 Cam Reddish,sore right knee,2023-12-15,2023-12-17,2,Knee,Knee
 Cam Reddish,sprained right ankle,2024-03-10,2024-03-22,12,Ankle,Ankle
 Cam Reddish,sprained right ankle,2024-04-16,2024-04-30,14,Ankle,Ankle
 Cam Reddish,peroneal injury in right foot,2024-11-16,2024-11-18,2,Foot,Unknown
 Cam Reddish,illness,2024-12-01,2024-12-02,1,Unknown,General Ailments
 Cam Reddish,back injury,2025-01-07,2025-01-10,3,Back,Back
 Cam Reddish,groin injury,2023-11-22,2023-11-29,7,Groin,Groin
 Cam Reddish,sprained right ankle,2024-01-27,2024-02-28,32,Ankle,Ankle
 Cam Spencer,sprained right ankle,2024-10-21,2024-11-20,30,Ankle,Ankle
 Cam Whitmore,illness,2025-01-27,2025-01-28,1,Unknown,General Ailments
 Cam Whitmore,sprained right knee,2024-03-12,2024-03-31,19,Knee,Knee
 Cam Whitmore,sprained right ankle,2024-02-10,2024-02-21,11,Ankle,Ankle
 Cam Whitmore,sore left knee,2024-11-18,2024-11-20,2,Knee,Knee
 Cameron Bairstow,placed on IL,2015-02-20,2015-02-21,1,Unknown,Unknown
 Cameron Johnson,sprained right ankle,2025-01-04,2025-01-14,10,Ankle,Ankle
 Cameron Johnson,sprained right ankle,2025-01-25,2025-02-05,11,Ankle,Ankle
 Cameron Johnson,sprained right ankle,2025-01-15,2025-01-19,4,Ankle,Ankle
 Cameron Johnson,hip injury,2024-12-27,2024-12-29,2,Hip,Unknown
 Cameron Johnson,sprained left ankle,2024-12-02,2024-12-04,2,Ankle,Ankle
 Cameron Johnson,sprained left big toe,2024-04-06,2024-04-10,4,Foot,Unknown
 Cameron Johnson,sprained left big toe,2024-04-01,2024-04-03,2,Foot,Unknown
 Cameron Johnson,sprained right ankle,2024-03-06,2024-03-13,7,Ankle,Ankle
 Cameron Johnson,left adductor injury,2024-02-06,2024-02-14,8,Unknown,Unknown
 Cameron Johnson,bruised left calf,2023-10-27,2023-11-10,14,Calf,Soft Tissue Injury
 Cameron Johnson,sprained left big toe,2024-03-24,2024-03-31,7,Foot,Unknown
 Cameron Payne,left elbow injury,2024-12-05,2024-12-09,4,Elbow,Elbow
 Cameron Payne,strained left hamstring,2024-11-06,2024-11-12,6,Hamstring,Soft Tissue Injury
 Cameron Payne,illness,2024-03-03,2024-03-05,2,Unknown,General Ailments
 Cameron Payne,concussion protocol,2024-01-07,2024-01-11,4,Head,Head
 Cameron Payne,sore lower back,2023-04-16,2023-04-25,9,Back,Back
 Cameron Thomas / Cam Thomas,sprained left ankle,2023-11-09,2023-11-30,21,Ankle,Ankle
 Cameron Thomas / Cam Thomas,tightness in lower back,2024-11-19,2024-11-22,3,Back,Back
 Cameron Thomas / Cam Thomas,strained left hamstring,2024-11-26,2024-12-29,33,Hamstring,Soft Tissue Injury
 Cameron Thomas / Cam Thomas,left hamstring injury,2024-12-31,2025-01-02,2,Hamstring,Soft Tissue Injury
 Cameron Thomas / Cam Thomas,tightness in lower back,2024-03-25,2024-03-27,2,Back,Back
 Cameron Thomas / Cam Thomas,sprained right ankle,2024-02-27,2024-03-09,11,Ankle,Ankle
 Caris LeVert,sore right wrist,2024-03-29,2024-03-31,2,Wrist,Wrist
 Caris LeVert,sprained right elbow,2024-03-03,2024-03-05,2,Elbow,Elbow
 Caris LeVert,sore left knee,2024-04-13,2024-04-19,6,Knee,Knee
 Caris LeVert,sprained right wrist,2024-01-20,2024-01-24,4,Wrist,Wrist
 Caris LeVert,left knee tendinitis,2023-12-23,2023-12-27,4,Knee,Knee
 Caris LeVert,left knee injury,2023-12-06,2023-12-12,6,Knee,Knee
 Caris LeVert,left hamstring injury,2023-10-31,2023-11-01,1,Hamstring,Soft Tissue Injury
 Caris LeVert,sore right knee,2024-11-02,2024-11-06,4,Knee,Knee
 Caris LeVert,left knee inflammation,2024-11-19,2024-11-29,10,Knee,Knee
 Caris LeVert,wrist injury,2025-01-20,2025-02-02,13,Wrist,Wrist
 Caris LeVert,sore left knee,2023-11-19,2023-11-22,3,Knee,Knee
 Caron Butler,back spasms,2015-02-11,2015-02-20,9,Back,Back
 Cason Wallace,bruised left quadriceps,2024-12-27,2024-12-29,2,Unknown,Unknown
 Cedi Osman,sprained left ankle,2024-03-08,2024-03-17,9,Ankle,Ankle
 Chris Boucher,illness,2025-02-04,2025-02-05,1,Unknown,General Ailments
 Chris Boucher,illness,2024-02-28,2024-03-01,2,Unknown,General Ailments
 Chris Duarte,sore left knee,2023-12-04,2023-12-08,4,Knee,Knee
 Chris Duarte,sprained right ankle,2024-02-07,2024-02-13,6,Ankle,Ankle
 Chris Kaman,ankle injury,2015-02-11,2015-02-20,9,Ankle,Ankle
 Chris Livingston,sprained left ankle,2023-12-11,2023-12-15,4,Ankle,Ankle
 Chris Livingston,sprained left ankle,2023-11-12,2023-11-22,10,Ankle,Ankle
 Chris Livingston,illness,2024-12-25,2024-12-28,3,Unknown,General Ailments
 Chris Livingston,sprained left ankle,2024-12-04,2024-12-14,10,Ankle,Ankle
 Chris Livingston,illness,2024-04-26,2024-04-29,3,Unknown,General Ailments
 Chris Livingston,sprained left ankle,2024-03-17,2024-03-20,3,Ankle,Ankle
 Chris Livingston,strained right groin,2024-03-04,2024-03-06,2,Groin,Groin
 Chris Livingston,illness,2024-01-14,2024-01-16,2,Unknown,General Ailments
 Chris Paul,fractured hand,2024-01-06,2024-02-26,51,Hand/Finger,Hand/Finger
 Chris Paul,illness,2023-12-08,2023-12-11,3,Unknown,General Ailments
 Chris Paul,bruised nerve in left lower leg,2023-11-29,2023-12-06,7,Unknown,Unknown
 Christian Braun,strained lower back,2024-12-16,2024-12-19,3,Back,Back
 Christian Koloko,respiratory ailment,2023-10-02,2024-01-17,107,Unknown,Unknown
 Christian Koloko,blood clots,2024-10-21,2024-10-29,8,Unknown,Unknown
 Christian Wood,migraine headache,2024-01-11,2024-01-13,2,Unknown,Unknown
 Christian Wood,left knee injury,2024-02-21,2024-04-27,66,Knee,Knee
 Clint Capela,sore right Achilles,2024-01-10,2024-01-12,2,Ankle,Ankle
 Clint Capela,strained left adductor,2024-02-04,2024-02-22,18,Unknown,Unknown
