Player,Injury,Start Date,Return Date,Days Missed,Standardized Injury
 Al Horford,placed on IL with strained neck,2024-01-30,2024-01-31,1,placed on IL with strained neck
 Al Horford,placed on IL with illness,2024-01-11,2024-01-13,2,placed on IL with illness
 Al Horford,sprained left big toe (DTD),2025-01-29,2025-01-31,2,sprained left big toe (DTD)
 Al Horford,placed on IL with sprained big toe,2024-12-02,2024-12-03,1,placed on IL with sprained right big toe
 Al Horford,placed on IL with sprained left big toe,2024-12-07,2024-12-11,4,placed on IL with sprained left big toe
 Al Horford,sprained left big toe (DTD),2025-01-18,2025-01-19,1,sprained left big toe (DTD)
 Al Horford,sprained left big toe (DTD),2025-01-22,2025-01-23,1,sprained left big toe (DTD)
 Al Horford,illness (DTD),2024-11-25,2024-11-28,3,illness (DTD)
 Alec Burks,placed on IL with sore left forearm,2023-11-01,2023-11-12,11,placed on IL with sore left forearm
 Alec Burks,placed on IL with sprained right shoulder,2024-03-27,2024-03-31,4,placed on IL with sprained right shoulder
 Aleksandar Vezenkov / Sasha Vezenkov,placed on IL with sprained right ankle,2024-02-11,2024-03-31,49,placed on IL with right high ankle sprain
 Aleksandar Vezenkov / Sasha Vezenkov,placed on IL with sprained right ankle,2024-01-24,2024-02-07,14,placed on IL with right high ankle sprain
 Aleksandar Vezenkov / Sasha Vezenkov,left thumb injury (DTD),2023-11-20,2023-11-21,1,left thumb injury (DTD)
 Aleksej Pokusevski,placed on IL with illness,2024-03-31,2024-04-01,1,placed on IL with illness
 Alex Caruso,sprained left ankle (DTD),2023-12-11,2023-12-14,3,sprained left ankle (DTD)
 Alex Caruso,sprained left ankle (DTD),2023-12-16,2023-12-18,2,sprained left ankle (DTD)
 Alex Caruso,cervical injury (DTD),2024-01-05,2024-01-08,3,cervical injury (DTD)
 Alex Caruso,toe injury (DTD),2024-02-12,2024-02-14,2,toe injury (DTD)
 Alex Caruso,placed on IL with bruised left ankle,2024-04-07,2024-04-09,2,placed on IL with bruised left ankle
 Alex Caruso,placed on IL with left hip injury,2024-12-25,2025-01-13,19,placed on IL with hip injury (P)
 Alex Caruso,placed on IL with toe injury,2023-11-26,2023-11-28,2,placed on IL with kidney stone
 Alex Caruso,placed on IL with sore right hip,2024-11-13,2024-11-18,5,placed on IL with sore right toe
 Alex Caruso,placed on IL with right hip injury,2024-11-24,2024-12-05,11,placed on IL with right hip flexor injury
 Alex Caruso,placed on IL with sprained ankle,2025-01-31,2025-02-04,4,placed on IL with sore/sprained ankles
 Alex Caruso,bruised left ankle (DTD),2024-04-12,2024-04-13,1,bruised left ankle (DTD)
 Alex Caruso,placed on IL with strained right hamstring,2024-02-28,2024-03-01,2,placed on IL with sore right groin/hamstring
 Alex Caruso,placed on IL with toe injury,2023-11-12,2023-11-15,3,placed on IL with kidney stone
 Alex Len,placed on IL with illness,2024-02-25,2024-02-26,1,placed on IL with illness
 Alex Len,placed on IL with sprained right ankle,2023-11-14,2023-12-26,42,placed on IL with right high ankle sprain
 Alex Sarr,placed on IL with sore lower back,2024-12-07,2024-12-12,5,placed on IL with sore lower back
 Alex Sarr,placed on IL with sore lower back,2024-12-23,2024-12-26,3,placed on IL with sore lower back
 Alex Sarr,illness (DTD),2025-01-08,2025-01-10,2,illness (DTD)
 Alperen Sengun,bruised left calf (DTD),2025-01-30,2025-02-04,5,bruised left calf (DTD)
 Alperen Sengun,placed on IL with sore lower back,2024-02-10,2024-02-12,2,placed on IL with sore lower back
 Amare Stoudemire / Amar'e Stoudemire,placed on IL with sprained left ankle,2015-02-19,2015-02-22,3,placed on IL with strained left calf (P)
 Amari Bailey,placed on IL with illness,2024-04-03,2024-04-10,7,placed on IL with illness
 Amari Bailey,illness (DTD),2024-03-13,2024-03-15,2,illness (DTD)
 Amen Thompson,placed on IL with sprained right ankle,2023-11-04,2023-12-06,32,placed on IL with right high ankle sprain
 Amen Thompson,placed on IL with illness,2023-12-13,2023-12-20,7,placed on IL with illness
 Amen Thompson,placed on IL with various injuries,2024-04-05,2024-04-07,2,placed on IL with various injuries
 Amen Thompson,tightness in left calf (DTD),2025-01-18,2025-01-20,2,tightness in left calf (DTD)
 Andre Drummond,placed on IL with illness,2024-11-13,2024-11-15,2,placed on IL with illness
 Andre Drummond,placed on IL with sprained right ankle,2024-12-02,2024-12-06,4,placed on IL with right high ankle sprain
 Andre Drummond,placed on IL with left big toe injury,2024-12-25,2025-01-01,7,placed on IL with left big toe injury
 Andre Drummond,placed on IL with sprained left toe,2025-01-02,2025-01-03,1,placed on IL with turf toe / sprained left toe
 Andre Drummond,placed on IL with sprained left toe,2025-01-12,2025-01-18,6,placed on IL with turf toe / sprained left toe
 Andre Drummond,toe injury (DTD),2025-01-19,2025-01-21,2,toe injury (DTD)
 Andre Jackson Jr.,placed on IL with illness,2024-02-27,2024-02-29,2,placed on IL with illness
 Andre Jackson Jr.,placed on IL with sprained right wrist,2024-02-03,2024-02-04,1,placed on IL with sprained right wrist
 Andre Jackson Jr.,placed on IL with lower back spasms,2023-12-02,2023-12-05,3,placed on IL with back spasms
 Andrew Nembhard,placed on IL with back injury,2024-01-05,2024-01-08,3,placed on IL with elbow injury
 Andrew Nembhard,placed on IL with sore left knee,2024-11-13,2024-12-01,18,placed on IL with sore left/right knee
 Andrew Nembhard,sore left knee (DTD),2024-11-01,2024-11-04,3,sore left knee (DTD)
 Andrew Nembhard,placed on IL with back injury,2024-01-18,2024-01-21,3,placed on IL with elbow injury
 Andrew Nembhard,back injury (DTD),2025-01-29,2025-01-31,2,back injury (DTD)
 Andrew Nembhard,placed on IL with bruised right knee,2023-12-08,2023-12-21,13,placed on IL with bruised tibia in right leg
 Andrew Nembhard,placed on IL with sore lower back,2023-11-18,2023-11-24,6,placed on IL with sore lower back
 Andrew Wiggins,placed on IL with sore left ankle,2024-04-05,2024-04-09,4,placed on IL with surgery on left ankle
 Andrew Wiggins,placed on IL with right finger injury,2023-11-30,2023-12-06,6,placed on IL with right hip flexor injury
 Andrew Wiggins,placed on IL with illness,2023-12-22,2023-12-25,3,placed on IL with illness
 Andrew Wiggins,placed on IL with sprained left ankle,2024-02-04,2024-02-07,3,placed on IL with strained left calf (P)
 Andrew Wiggins,back injury (DTD),2024-10-29,2024-11-01,3,back injury (DTD)
 Andrew Wiggins,placed on IL with right ankle impingement,2024-12-08,2024-12-15,7,placed on IL with right ankle impingement
 Anfernee Simons,placed on IL with surgery on right thumb,2023-10-27,2023-12-06,40,placed on IL with surgery on right thumb
 Anfernee Simons,placed on IL with illness,2023-12-29,2024-01-03,5,placed on IL with illness
 Anfernee Simons,placed on IL with illness,2024-01-19,2024-01-21,2,placed on IL with illness
 Anfernee Simons,placed on IL with sprained left ankle,2024-02-09,2024-02-13,4,placed on IL with strained left calf (P)
 Anfernee Simons,placed on IL with left knee tendinitis,2024-03-14,2024-03-16,2,placed on IL with left knee tendinitis
 Anfernee Simons,placed on IL with illness,2024-11-13,2024-11-22,9,placed on IL with illness
 Anfernee Simons,placed on IL with strained right elbow,2025-01-19,2025-01-21,2,placed on IL with stiffness in right elbow
 Anthony Black,placed on IL with back spasms,2025-01-01,2025-01-05,4,placed on IL with back spasms
 Anthony Davis,placed on IL with Achilles injury,2024-01-30,2024-02-03,4,placed on IL with Achilles injury
 Anthony Davis,placed on IL with hyperextended left knee,2024-03-27,2024-03-29,2,placed on IL with hyperextended left knee
 Anthony Davis,headache (DTD),2024-04-09,2024-04-12,3,headache (DTD)
 Anthony Davis,heel injury (DTD),2024-11-06,2024-11-08,2,heel injury (DTD)
 Anthony Davis,plantar fasciitis in left foot (DTD),2025-01-17,2025-01-19,2,plantar fasciitis in left foot (DTD)
 Anthony Davis,left adductor injury (DTD),2023-12-15,2023-12-18,3,left adductor injury (DTD)
 Anthony Davis,left adductor injury (DTD),2023-11-08,2023-11-10,2,left adductor injury (DTD)
 Anthony Edwards,placed on IL with illness,2025-02-01,2025-02-03,2,placed on IL with illness
 Anthony Edwards,placed on IL with right hip pointer,2023-12-11,2023-12-14,3,placed on IL with right hip pointer
 Anthony Edwards,placed on IL with right hip pointer,2023-11-30,2023-12-06,6,placed on IL with right hip pointer
 Anthony Gill,sore right knee (DTD),2024-04-07,2024-04-09,2,sore right knee (DTD)
 Anthony Gill,left hamstring injury (out indefinitely),2023-10-12,2023-10-28,16,left hamstring injury (out indefinitely)
 Ariel Hukporti,placed on IL with illness,2025-01-25,2025-01-27,2,placed on IL with illness
 Ariel Hukporti,placed on IL with sprained left ankle,2024-12-11,2024-12-19,8,placed on IL with strained left calf (P)
 Arron Afflalo,placed on IL,2015-02-20,2015-02-22,2,placed on IL
 Ausar Thompson,placed on IL with illness,2025-01-06,2025-01-09,3,placed on IL with illness
 Ausar Thompson,placed on IL with groin injury,2024-12-07,2024-12-11,4,placed on IL with cervical injury
 Ausar Thompson,blood clots (out indefinitely),2024-10-21,2024-11-11,21,blood clots (out indefinitely)
 Austin Reaves,placed on IL with bruised pelvis,2024-12-01,2024-12-13,12,placed on IL with bruised pelvis
 Austin Rivers,left ankle injury / sore left foot (DTD),2015-02-19,2015-02-21,2,left ankle injury / sore left foot (DTD)
 Ayo Dosunmu,placed on IL with illness,2023-11-03,2023-11-06,3,placed on IL with illness
 Ayo Dosunmu,placed on IL with strained right calf,2024-12-28,2025-01-15,18,placed on IL with strained right rotator cuff
 Ayo Dosunmu,strained soleus muscle in right calf (DTD),2025-01-20,2025-01-22,2,strained soleus muscle in right calf (DTD)
 Ben Sheppard,placed on IL with strained left oblique,2024-11-18,2024-12-19,31,placed on IL with strained left oblique
 Ben Sheppard,placed on IL with illness,2024-03-01,2024-03-05,4,placed on IL with illness
 Ben Simmons,placed on IL with sore left hip,2023-11-08,2024-01-29,82,placed on IL with sore foot
 Ben Simmons,placed on IL with bruised left knee,2024-01-31,2024-02-01,1,placed on IL with bone bruise in left knee
 Ben Simmons,placed on IL with lower back injury,2024-02-04,2024-02-06,2,placed on IL with back injury
 Ben Simmons,placed on IL with left knee injury,2024-02-14,2024-02-21,7,"placed on IL with left ankle, knee injuries"
 Ben Simmons,placed on IL with lower back injury,2024-02-27,2024-02-28,1,placed on IL with back injury
 Ben Simmons,placed on IL with back injury,2023-11-04,2023-11-06,2,placed on IL with elbow injury
 Ben Simmons,placed on IL with lower back injury,2024-11-04,2024-11-07,3,placed on IL with back injury
 Ben Simmons,placed on IL with tightness in left calf,2024-11-13,2024-11-14,1,placed on IL with tightness in left calf
 Ben Simmons,placed on IL with bruised left knee / lower back injury,2024-12-02,2024-12-04,2,placed on IL with bruised left knee / lower back injury
 Ben Simmons,placed on IL with sore left calf / various injuries,2025-01-04,2025-01-09,5,placed on IL with sore left calf / various injuries
 Ben Simmons,placed on IL with lower back injury,2025-01-15,2025-01-16,1,placed on IL with back injury
 Ben Simmons,placed on IL with illness,2025-01-21,2025-01-25,4,placed on IL with illness
 Ben Simmons,placed on IL with sore lower back,2025-01-25,2025-01-28,3,placed on IL with sore lower back
 Ben Simmons,placed on IL with back injury,2025-02-03,2025-02-05,2,placed on IL with elbow injury
 Ben Simmons,placed on IL with lower back injury,2024-10-28,2024-10-30,2,placed on IL with back injury
 Ben Simmons,placed on IL with lower back injury,2024-11-08,2024-11-11,3,placed on IL with back injury
 Bennedict Mathurin,placed on IL with illness,2024-02-06,2024-02-08,2,placed on IL with illness
 Bennedict Mathurin,bruised right knee (DTD),2024-02-14,2024-02-22,8,bruised right knee (DTD)
 Bennedict Mathurin,placed on IL with toe injury,2024-01-30,2024-02-02,3,placed on IL with kidney stone
 Bennedict Mathurin,illness (DTD),2025-01-29,2025-01-31,2,illness (DTD)
 Bilal Coulibaly,placed on IL with sore right groin,2024-12-23,2024-12-26,3,placed on IL with sore right groin/hamstring
 Bilal Coulibaly,placed on IL with head injury,2024-11-18,2024-11-21,3,placed on IL with hip injury (P)
 Bilal Coulibaly,placed on IL with illness,2025-01-02,2025-01-07,5,placed on IL with illness
 Bilal Coulibaly,placed on IL with bruised left knee,2023-11-24,2023-11-25,1,placed on IL with bone bruise in left knee
 Bilal Coulibaly,placed on IL with bruised pelvis,2024-02-26,2024-03-03,6,placed on IL with bruised pelvis
 Bismack Biyombo,sore back (DTD),2023-12-18,2023-12-19,1,sore back (DTD)
 Blake Griffin,placed on IL with sore lower back,2023-05-05,2023-05-07,2,placed on IL with sore lower back
 Bobby Portis,placed on IL with bruised right elbow,2024-11-13,2024-11-16,3,placed on IL with bruised right knee
 Bogdan Bogdanovic,bruised left lower leg (DTD),2025-01-04,2025-01-07,3,bruised left lower leg (DTD)
 Bogdan Bogdanovic,bruised quadriceps (DTD),2024-12-08,2024-12-11,3,bruised quadriceps (DTD)
 Bogdan Bogdanovic,placed on IL with right hamstring injury,2024-11-30,2024-12-02,2,placed on IL with right hamstring injury / knee injury
 Bogdan Bogdanovic,placed on IL with right hamstring injury,2024-10-24,2024-11-18,25,placed on IL with right hamstring injury / knee injury
 Bogdan Bogdanovic,illness (DTD),2024-03-15,2024-03-17,2,illness (DTD)
 Bogdan Bogdanovic,sprained right ankle (DTD),2023-12-16,2023-12-20,4,sprained right hand (DTD)
 Bogdan Bogdanovic,placed on IL with bruised left lower leg,2024-12-26,2025-01-03,8,placed on IL with bruised left lower leg
 Bojan Bogdanovic,placed on IL with strained calf,2023-10-24,2023-12-02,39,placed on IL with strained left calf (P)
 Bojan Bogdanovic,sore left calf (DTD),2024-02-14,2024-02-20,6,sore left calf (DTD)
 Bojan Bogdanovic,placed on IL with sore left calf,2024-01-12,2024-01-17,5,placed on IL with strained left calf (P)
 Bojan Bogdanovic,placed on IL with sore left calf,2024-02-08,2024-02-10,2,placed on IL with strained left calf (P)
 Bol Bol,placed on IL with sore/sprained right foot,2024-01-14,2024-01-31,17,placed on IL with sore/sprained right foot
 Bol Bol,placed on IL with sprained right ankle,2024-01-06,2024-01-10,4,placed on IL with right high ankle sprain
 Bol Bol,placed on IL with bruised left knee,2024-12-21,2024-12-31,10,placed on IL with bone bruise in left knee
 Bradley Beal,placed on IL with right knee injury,2024-12-13,2024-12-19,6,placed on IL with meniscus injury in right knee
 Bradley Beal,placed on IL with sore right elbow,2024-10-26,2024-10-28,2,placed on IL with sore right elbow
 Bradley Beal,placed on IL with sprained right elbow,2024-10-31,2024-11-02,2,placed on IL with stiffness in right elbow
 Bradley Beal,placed on IL with bruised left calf,2024-11-13,2024-11-25,12,placed on IL with bruised left foot
 Bradley Beal,placed on IL with left hamstring injury,2024-02-14,2024-03-02,17,placed on IL with left hamstring injury
 Bradley Beal,placed on IL with tightness in lower back,2023-10-24,2023-11-08,15,placed on IL with stiffness in lower back
 Bradley Beal,placed on IL with back spasms / strained lower back,2023-11-15,2023-12-29,44,placed on IL with back spasms / strained lower back
 Bradley Beal,placed on IL with left calf injury,2024-11-30,2024-12-03,3,placed on IL with left forearm injury
 Bradley Beal,placed on IL with sprained left ankle,2025-01-22,2025-01-25,3,placed on IL with strained left calf (P)
 Bradley Beal,placed on IL with sprained left ankle,2025-01-16,2025-01-20,4,placed on IL with strained left calf (P)
 Brandin Podziemski,placed on IL with sore right knee,2024-03-01,2024-03-05,4,placed on IL with sore right ankle/heel
 Brandin Podziemski,placed on IL with illness,2024-11-06,2024-11-08,2,placed on IL with illness
 Brandin Podziemski,placed on IL with abdominal injury,2024-12-29,2025-01-23,25,placed on IL with abdominal injury
 Brandon Boston Jr. / B.J. Boston Jr.,quadriceps injury (DTD),2023-10-25,2023-12-11,47,quadriceps injury (DTD)
 Brandon Boston Jr. / B.J. Boston Jr.,illness (DTD),2023-12-12,2023-12-14,2,illness (DTD)
 Brandon Clarke,placed on IL with sore left toe,2024-11-13,2024-11-15,2,placed on IL with sore foot
 Brandon Clarke,sore right knee (DTD),2024-12-29,2025-01-03,5,sore right knee (DTD)
 Brandon Clarke,left Achilles injury (DTD),2024-04-04,2024-04-06,2,left Achilles injury (DTD)
 Brandon Clarke,placed on IL with recovering from torn left Achilles tendon,2023-10-25,2024-03-27,154,placed on IL with recovering from torn left Achilles tendon
 Brandon Clarke,placed on IL with sore back,2025-02-03,2025-02-05,2,placed on IL with sore knee
 Brandon Ingram,placed on IL with sore right Achilles,2024-01-13,2024-01-15,2,placed on IL with sore right Achilles
 Brandon Ingram,placed on IL with sore knee,2023-11-01,2023-11-04,3,placed on IL with kidney stone
 Brandon Ingram,placed on IL with illness,2024-02-22,2024-02-25,3,placed on IL with illness
 Brandon Ingram,placed on IL with sore right calf,2024-11-25,2024-12-05,10,placed on IL with sore right ankle/heel
 Brandon Ingram,placed on IL with bruised left knee,2024-03-22,2024-04-14,23,placed on IL with bone bruise in left knee
 Brandon Ingram,placed on IL with bilateral sprained ankles,2024-11-20,2024-11-22,2,placed on IL with bilateral sprained ankles
 Brandon Miller,sprained left ankle (DTD),2024-12-28,2025-01-05,8,sprained left ankle (DTD)
 Brandon Miller,placed on IL with sprained left ankle,2024-12-19,2024-12-26,7,placed on IL with strained left calf (P)
 Brandon Miller,bruised lower back (DTD),2024-03-01,2024-03-03,2,bruised lower back (DTD)
 Brandon Miller,placed on IL with bruised lower back,2024-01-17,2024-01-19,2,placed on IL with bruised/sore lower back
 Brandon Miller,placed on IL with strained left gluteal muscle,2024-10-24,2024-11-02,9,placed on IL with strained left gluteal muscle
 Brandon Miller,placed on IL with sprained right ankle,2023-12-26,2023-12-28,2,placed on IL with right high ankle sprain
 Brandon Miller,bruised left hip (DTD),2024-01-02,2024-01-04,2,bruised left hip (DTD)
 Brandon Miller,sprained left ankle (DTD),2023-11-30,2023-12-02,2,sprained left ankle (DTD)
 Brandon Miller,placed on IL with sprained left ankle,2023-11-14,2023-11-17,3,placed on IL with strained left calf (P)
 Brandon Williams (b. 1975-02-27),placed on IL with sprained right thumb,2024-12-09,2024-12-26,17,placed on IL with sprained right big toe
 Brandon Williams (b. 1975-02-27),placed on IL with sprained left wrist,2024-03-12,2024-03-19,7,placed on IL with strained left thigh
 Braxton Key,illness (DTD),2024-02-22,2024-02-23,1,illness (DTD)
 Brice Sensabaugh,placed on IL with sprained right ankle,2025-01-22,2025-01-24,2,placed on IL with right high ankle sprain
 Brice Sensabaugh,placed on IL with sore left hip,2024-02-08,2024-02-12,4,placed on IL with sore foot
 Brice Sensabaugh,placed on IL with illness,2025-01-07,2025-01-12,5,placed on IL with illness
 Bronny James,placed on IL with illness,2025-01-13,2025-01-16,3,placed on IL with illness
 Bronny James,placed on IL with bruised left heel,2024-11-19,2024-12-07,18,placed on IL with bruised head
 Brook Lopez,placed on IL with back injury,2025-02-03,2025-02-04,1,placed on IL with elbow injury
 Bruce Brown,placed on IL with bruised right knee,2023-12-26,2024-01-03,8,placed on IL with bruised tibia in right leg
 Bruce Brown,placed on IL with bruised right knee,2024-01-06,2024-01-08,2,placed on IL with bruised tibia in right leg
 Bruce Brown,placed on IL with right knee inflammation,2024-03-03,2024-03-11,8,placed on IL with right knee inflammation
 Bruce Brown,sore right knee (DTD),2024-04-03,2024-04-07,4,sore right knee (DTD)
 Bruce Brown,right knee inflammation (DTD),2024-04-10,2024-04-12,2,right knee inflammation (DTD)
 Bruce Brown,right knee injury (DTD),2025-01-09,2025-01-10,1,right knee injury (DTD)
 Bruce Brown,placed on IL recovering from surgery on right knee (date approximate),2024-10-22,2024-12-29,68,placed on IL recovering from surgery on right knee (date approximate)
 Bruce Brown,placed on IL with right knee injury,2025-01-01,2025-01-02,1,placed on IL with meniscus injury in right knee
 Bruno Fernando,placed on IL with illness,2024-02-10,2024-02-12,2,placed on IL with illness
 Bruno Fernando,placed on IL with lower back spasms,2024-01-24,2024-02-02,9,placed on IL with back spasms
 Bruno Fernando,placed on IL with left big toe injury,2024-12-29,2024-12-31,2,placed on IL with left big toe injury
 Bruno Fernando,placed on IL with sprained right ankle,2024-11-21,2024-11-24,3,placed on IL with right high ankle sprain
 Bryce McGowens,placed on IL with left hip injury,2024-01-17,2024-01-20,3,placed on IL with hip injury (P)
 Bryce McGowens,ankle injury (DTD),2023-10-25,2023-10-27,2,hand injury (DTD)
 Bryce McGowens,placed on IL with strained right knee,2024-03-09,2024-03-25,16,placed on IL with strained right middle finger
 C.J. McCollum,placed on IL with collapsed right lung,2023-11-05,2023-11-29,24,placed on IL with collapsed right lung
 C.J. McCollum,placed on IL with sprained left ankle,2024-02-24,2024-02-28,4,placed on IL with strained left calf (P)
 C.J. McCollum,placed on IL with sprained right ankle,2024-01-13,2024-01-15,2,placed on IL with right high ankle sprain
 C.J. McCollum,placed on IL with strained right adductor,2024-11-01,2024-11-25,24,placed on IL with sore right adductor
 Cade Cunningham,placed on IL with hip injury,2024-11-22,2024-11-29,7,placed on IL with hip injury (P)
 Cade Cunningham,left hip injury (DTD),2024-11-30,2024-12-02,2,hip injury (DTD)
 Cade Cunningham,left knee injury (DTD),2024-03-18,2024-03-19,1,left knee injury (DTD)
 Cade Cunningham,left knee injury (DTD),2024-01-28,2024-01-31,3,left knee injury (DTD)
 Cade Cunningham,placed on IL with strained left knee,2024-01-08,2024-01-27,19,placed on IL with strained left knee/quadriceps
 Cade Cunningham,left knee injury (DTD),2024-03-24,2024-03-27,3,left knee injury (DTD)
 Cade Cunningham,left knee injury (DTD),2024-02-07,2024-02-08,1,left knee injury (DTD)
 Caleb Houstan,placed on IL with sore right ankle,2024-04-01,2024-04-08,7,placed on IL with right high ankle sprain
 Caleb Houstan,placed on IL with illness,2025-02-03,2025-02-04,1,placed on IL with illness
 Caleb Martin,placed on IL with right shoulder impingement,2024-12-12,2024-12-21,9,placed on IL with right shoulder impingement
 Caleb Martin,placed on IL with sore back,2024-11-27,2024-12-03,6,placed on IL with sore knee
 Caleb Martin,placed on IL with right ankle injury,2024-03-30,2024-04-02,3,placed on IL with ankle injury / rest
 Caleb Martin,placed on IL with sprained right ankle,2023-12-28,2024-01-12,15,placed on IL with right high ankle sprain
 Caleb Martin,placed on IL with left knee tendinosis,2023-10-28,2023-11-15,18,placed on IL with left knee tendinitis
 Cam Reddish,right groin injury (DTD),2023-11-30,2023-12-02,2,right groin injury (DTD)
 Cam Reddish,placed on IL with left groin injury,2023-12-28,2023-12-30,2,placed on IL with left forearm injury
 Cam Reddish,left groin injury (DTD),2023-12-31,2024-01-03,3,right groin injury (DTD)
 Cam Reddish,placed on IL with sore left knee,2024-01-14,2024-01-21,7,placed on IL with sore left/right knee
 Cam Reddish,sore right knee (DTD),2023-12-15,2023-12-17,2,sore right knee (DTD)
 Cam Reddish,placed on IL with sprained right ankle,2024-03-10,2024-03-22,12,placed on IL with right high ankle sprain
 Cam Reddish,placed on IL with sprained right ankle,2024-04-16,2024-04-30,14,placed on IL with right high ankle sprain
 Cam Reddish,peroneal injury in right foot (DTD),2024-11-16,2024-11-18,2,peroneal injury in right foot (DTD)
 Cam Reddish,illness (DTD),2024-12-01,2024-12-02,1,illness (DTD)
 Cam Reddish,back injury (DTD),2025-01-07,2025-01-10,3,back injury (DTD)
 Cam Reddish,placed on IL with groin injury,2023-11-22,2023-11-29,7,placed on IL with cervical injury
 Cam Reddish,placed on IL with sprained right ankle,2024-01-27,2024-02-28,32,placed on IL with right high ankle sprain
 Cam Spencer,placed on IL with sprained right ankle,2024-10-21,2024-11-20,30,placed on IL with right high ankle sprain
 Cam Whitmore,illness (DTD),2025-01-27,2025-01-28,1,illness (DTD)
 Cam Whitmore,placed on IL with sprained right knee,2024-03-12,2024-03-31,19,placed on IL with sprained right ankle (DTD)
 Cam Whitmore,placed on IL with sprained right ankle,2024-02-10,2024-02-21,11,placed on IL with right high ankle sprain
 Cam Whitmore,placed on IL with sore left knee,2024-11-18,2024-11-20,2,placed on IL with sore left/right knee
 Cameron Bairstow,placed on IL,2015-02-20,2015-02-21,1,placed on IL
 Cameron Johnson,placed on IL with sprained right ankle,2025-01-04,2025-01-14,10,placed on IL with right high ankle sprain
 Cameron Johnson,placed on IL with sprained right ankle,2025-01-25,2025-02-05,11,placed on IL with right high ankle sprain
 Cameron Johnson,sprained right ankle (DTD),2025-01-15,2025-01-19,4,sprained right hand (DTD)
 Cameron Johnson,hip injury (DTD),2024-12-27,2024-12-29,2,hip injury (DTD)
