Player,Injury,Start Date,Return Date,Days Missed,Injury Category
 Al Horford,sprained left big toe,2024-04-09,2024-04-11,2,Foot
 Al Horford,sprained left big toe,2024-03-28,2024-03-29,1,Foot
 Al Horford,sprained left big toe,2024-03-22,2024-03-23,1,Foot
 Al Horford,sprained left big toe,2024-03-18,2024-03-19,1,Foot
 Al Horford,sprained left big toe,2024-03-12,2024-03-13,1,Foot
 Al Horford,sprained left toe,2024-02-14,2024-02-21,7,Foot
 Al Horford,sprained left big toe,2024-04-12,2024-04-21,9,Foot
 Al Horford,strained neck,2024-01-30,2024-01-31,1,Neck
 Al Horford,illness,2024-01-11,2024-01-13,2,Unknown
 Al Horford,sprained left big toe,2025-01-29,2025-01-31,2,Foot
 Al Horford,sprained big toe,2024-12-02,2024-12-03,1,Foot
 Al Horford,sprained left big toe,2024-12-07,2024-12-11,4,Foot
 Al Horford,sprained left big toe,2025-01-18,2025-01-19,1,Foot
 Al Horford,sprained left big toe,2025-01-22,2025-01-23,1,Foot
 Al Horford,illness,2024-11-25,2024-11-28,3,Unknown
 Alec Burks,sore left forearm,2023-11-01,2023-11-12,11,Unknown
 Alec Burks,sprained right shoulder,2024-03-27,2024-03-31,4,Shoulder
 Aleksandar Vezenkov / Sasha Vezenkov,sprained right ankle,2024-02-11,2024-03-31,49,Ankle
 Aleksandar Vezenkov / Sasha Vezenkov,sprained right ankle,2024-01-24,2024-02-07,14,Ankle
 Aleksandar Vezenkov / Sasha Vezenkov,left thumb injury,2023-11-20,2023-11-21,1,Unknown
 Aleksej Pokusevski,illness,2024-03-31,2024-04-01,1,Unknown
 Alex Caruso,sprained left ankle,2023-12-11,2023-12-14,3,Ankle
 Alex Caruso,sprained left ankle,2023-12-16,2023-12-18,2,Ankle
 Alex Caruso,cervical injury,2024-01-05,2024-01-08,3,Unknown
 Alex Caruso,toe injury,2024-02-12,2024-02-14,2,Foot
 Alex Caruso,bruised left ankle,2024-04-07,2024-04-09,2,Ankle
 Alex Caruso,left hip injury,2024-12-25,2025-01-13,19,Hip
 Alex Caruso,toe injury,2023-11-26,2023-11-28,2,Foot
 Alex Caruso,sore right hip,2024-11-13,2024-11-18,5,Hip
 Alex Caruso,right hip injury,2024-11-24,2024-12-05,11,Hip
 Alex Caruso,sprained ankle,2025-01-31,2025-02-04,4,Ankle
 Alex Caruso,bruised left ankle,2024-04-12,2024-04-13,1,Ankle
 Alex Caruso,strained right hamstring,2024-02-28,2024-03-01,2,Hamstring
 Alex Caruso,toe injury,2023-11-12,2023-11-15,3,Foot
 Alex Len,illness,2024-02-25,2024-02-26,1,Unknown
 Alex Len,sprained right ankle,2023-11-14,2023-12-26,42,Ankle
 Alex Sarr,sore lower back,2024-12-07,2024-12-12,5,Back
 Alex Sarr,sore lower back,2024-12-23,2024-12-26,3,Back
 Alex Sarr,illness,2025-01-08,2025-01-10,2,Unknown
 Alperen Sengun,bruised left calf,2025-01-30,2025-02-04,5,Calf
 Alperen Sengun,sore lower back,2024-02-10,2024-02-12,2,Back
 Amare Stoudemire / Amar'e Stoudemire,sprained left ankle,2015-02-19,2015-02-22,3,Ankle
 Amari Bailey,illness,2024-04-03,2024-04-10,7,Unknown
 Amari Bailey,illness,2024-03-13,2024-03-15,2,Unknown
 Amen Thompson,sprained right ankle,2023-11-04,2023-12-06,32,Ankle
 Amen Thompson,illness,2023-12-13,2023-12-20,7,Unknown
 Amen Thompson,various injuries,2024-04-05,2024-04-07,2,Unknown
 Amen Thompson,tightness in left calf,2025-01-18,2025-01-20,2,Calf
 Andre Drummond,illness,2024-11-13,2024-11-15,2,Unknown
 Andre Drummond,sprained right ankle,2024-12-02,2024-12-06,4,Ankle
 Andre Drummond,left big toe injury,2024-12-25,2025-01-01,7,Foot
 Andre Drummond,sprained left toe,2025-01-02,2025-01-03,1,Foot
 Andre Drummond,sprained left toe,2025-01-12,2025-01-18,6,Foot
 Andre Drummond,toe injury,2025-01-19,2025-01-21,2,Foot
 Andre Jackson Jr.,illness,2024-02-27,2024-02-29,2,Unknown
 Andre Jackson Jr.,sprained right wrist,2024-02-03,2024-02-04,1,Wrist
 Andre Jackson Jr.,lower back spasms,2023-12-02,2023-12-05,3,Back
 Andrew Nembhard,back injury,2024-01-05,2024-01-08,3,Back
 Andrew Nembhard,sore left knee,2024-11-13,2024-12-01,18,Knee
 Andrew Nembhard,sore left knee,2024-11-01,2024-11-04,3,Knee
 Andrew Nembhard,back injury,2024-01-18,2024-01-21,3,Back
 Andrew Nembhard,back injury,2025-01-29,2025-01-31,2,Back
 Andrew Nembhard,bruised right knee,2023-12-08,2023-12-21,13,Knee
 Andrew Nembhard,sore lower back,2023-11-18,2023-11-24,6,Back
 Andrew Wiggins,sore left ankle,2024-04-05,2024-04-09,4,Ankle
 Andrew Wiggins,right finger injury,2023-11-30,2023-12-06,6,Hand/Finger
 Andrew Wiggins,illness,2023-12-22,2023-12-25,3,Unknown
 Andrew Wiggins,sprained left ankle,2024-02-04,2024-02-07,3,Ankle
 Andrew Wiggins,back injury,2024-10-29,2024-11-01,3,Back
 Andrew Wiggins,right ankle impingement,2024-12-08,2024-12-15,7,Ankle
 Anfernee Simons,surgery on right thumb,2023-10-27,2023-12-06,40,Unknown
 Anfernee Simons,illness,2023-12-29,2024-01-03,5,Unknown
 Anfernee Simons,illness,2024-01-19,2024-01-21,2,Unknown
 Anfernee Simons,sprained left ankle,2024-02-09,2024-02-13,4,Ankle
 Anfernee Simons,left knee tendinitis,2024-03-14,2024-03-16,2,Knee
 Anfernee Simons,illness,2024-11-13,2024-11-22,9,Unknown
 Anfernee Simons,strained right elbow,2025-01-19,2025-01-21,2,Elbow
 Anthony Black,back spasms,2025-01-01,2025-01-05,4,Back
 Anthony Davis,Achilles injury,2024-01-30,2024-02-03,4,Ankle
 Anthony Davis,hyperextended left knee,2024-03-27,2024-03-29,2,Knee
 Anthony Davis,headache,2024-04-09,2024-04-12,3,Unknown
 Anthony Davis,heel injury,2024-11-06,2024-11-08,2,Unknown
 Anthony Davis,plantar fasciitis in left foot,2025-01-17,2025-01-19,2,Foot
 Anthony Davis,left adductor injury,2023-12-15,2023-12-18,3,Unknown
 Anthony Davis,left adductor injury,2023-11-08,2023-11-10,2,Unknown
 Anthony Edwards,illness,2025-02-01,2025-02-03,2,Unknown
 Anthony Edwards,right hip pointer,2023-12-11,2023-12-14,3,Hip
 Anthony Edwards,right hip pointer,2023-11-30,2023-12-06,6,Hip
 Anthony Gill,sore right knee,2024-04-07,2024-04-09,2,Knee
 Anthony Gill,left hamstring injury,2023-10-12,2023-10-28,16,Hamstring
 Ariel Hukporti,illness,2025-01-25,2025-01-27,2,Unknown
 Ariel Hukporti,sprained left ankle,2024-12-11,2024-12-19,8,Ankle
 Arron Afflalo,placed on IL,2015-02-20,2015-02-22,2,Unknown
 Ausar Thompson,illness,2025-01-06,2025-01-09,3,Unknown
 Ausar Thompson,groin injury,2024-12-07,2024-12-11,4,Groin
 Ausar Thompson,blood clots,2024-10-21,2024-11-11,21,Unknown
 Austin Reaves,bruised pelvis,2024-12-01,2024-12-13,12,Unknown
 Austin Rivers,left ankle injury / sore left foot,2015-02-19,2015-02-21,2,Ankle
 Ayo Dosunmu,illness,2023-11-03,2023-11-06,3,Unknown
 Ayo Dosunmu,strained right calf,2024-12-28,2025-01-15,18,Calf
 Ayo Dosunmu,strained soleus muscle in right calf,2025-01-20,2025-01-22,2,Calf
 Ben Sheppard,strained left oblique,2024-11-18,2024-12-19,31,Unknown
 Ben Sheppard,illness,2024-03-01,2024-03-05,4,Unknown
 Ben Simmons,sore left hip,2023-11-08,2024-01-29,82,Hip
 Ben Simmons,bruised left knee,2024-01-31,2024-02-01,1,Knee
 Ben Simmons,lower back injury,2024-02-04,2024-02-06,2,Back
 Ben Simmons,left knee injury,2024-02-14,2024-02-21,7,Knee
 Ben Simmons,lower back injury,2024-02-27,2024-02-28,1,Back
 Ben Simmons,back injury,2023-11-04,2023-11-06,2,Back
 Ben Simmons,lower back injury,2024-11-04,2024-11-07,3,Back
 Ben Simmons,tightness in left calf,2024-11-13,2024-11-14,1,Calf
 Ben Simmons,bruised left knee / lower back injury,2024-12-02,2024-12-04,2,Knee
 Ben Simmons,sore left calf / various injuries,2025-01-04,2025-01-09,5,Calf
 Ben Simmons,lower back injury,2025-01-15,2025-01-16,1,Back
 Ben Simmons,illness,2025-01-21,2025-01-25,4,Unknown
 Ben Simmons,sore lower back,2025-01-25,2025-01-28,3,Back
 Ben Simmons,back injury,2025-02-03,2025-02-05,2,Back
 Ben Simmons,lower back injury,2024-10-28,2024-10-30,2,Back
 Ben Simmons,lower back injury,2024-11-08,2024-11-11,3,Back
 Bennedict Mathurin,illness,2024-02-06,2024-02-08,2,Unknown
 Bennedict Mathurin,bruised right knee,2024-02-14,2024-02-22,8,Knee
 Bennedict Mathurin,toe injury,2024-01-30,2024-02-02,3,Foot
 Bennedict Mathurin,illness,2025-01-29,2025-01-31,2,Unknown
 Bilal Coulibaly,sore right groin,2024-12-23,2024-12-26,3,Groin
 Bilal Coulibaly,head injury,2024-11-18,2024-11-21,3,Unknown
 Bilal Coulibaly,illness,2025-01-02,2025-01-07,5,Unknown
 Bilal Coulibaly,bruised left knee,2023-11-24,2023-11-25,1,Knee
 Bilal Coulibaly,bruised pelvis,2024-02-26,2024-03-03,6,Unknown
 Bismack Biyombo,sore back,2023-12-18,2023-12-19,1,Back
 Blake Griffin,sore lower back,2023-05-05,2023-05-07,2,Back
 Bobby Portis,bruised right elbow,2024-11-13,2024-11-16,3,Elbow
 Bogdan Bogdanovic,bruised left lower leg,2025-01-04,2025-01-07,3,Unknown
 Bogdan Bogdanovic,bruised quadriceps,2024-12-08,2024-12-11,3,Unknown
 Bogdan Bogdanovic,right hamstring injury,2024-11-30,2024-12-02,2,Hamstring
 Bogdan Bogdanovic,right hamstring injury,2024-10-24,2024-11-18,25,Hamstring
 Bogdan Bogdanovic,illness,2024-03-15,2024-03-17,2,Unknown
 Bogdan Bogdanovic,sprained right ankle,2023-12-16,2023-12-20,4,Ankle
 Bogdan Bogdanovic,bruised left lower leg,2024-12-26,2025-01-03,8,Unknown
 Bojan Bogdanovic,strained calf,2023-10-24,2023-12-02,39,Calf
 Bojan Bogdanovic,sore left calf,2024-02-14,2024-02-20,6,Calf
 Bojan Bogdanovic,sore left calf,2024-01-12,2024-01-17,5,Calf
 Bojan Bogdanovic,sore left calf,2024-02-08,2024-02-10,2,Calf
 Bol Bol,sore/sprained right foot,2024-01-14,2024-01-31,17,Foot
 Bol Bol,sprained right ankle,2024-01-06,2024-01-10,4,Ankle
 Bol Bol,bruised left knee,2024-12-21,2024-12-31,10,Knee
 Bradley Beal,right knee injury,2024-12-13,2024-12-19,6,Knee
 Bradley Beal,sore right elbow,2024-10-26,2024-10-28,2,Elbow
 Bradley Beal,sprained right elbow,2024-10-31,2024-11-02,2,Elbow
 Bradley Beal,bruised left calf,2024-11-13,2024-11-25,12,Calf
 Bradley Beal,left hamstring injury,2024-02-14,2024-03-02,17,Hamstring
 Bradley Beal,tightness in lower back,2023-10-24,2023-11-08,15,Back
 Bradley Beal,back spasms / strained lower back,2023-11-15,2023-12-29,44,Back
 Bradley Beal,left calf injury,2024-11-30,2024-12-03,3,Calf
 Bradley Beal,sprained left ankle,2025-01-22,2025-01-25,3,Ankle
 Bradley Beal,sprained left ankle,2025-01-16,2025-01-20,4,Ankle
 Brandin Podziemski,sore right knee,2024-03-01,2024-03-05,4,Knee
 Brandin Podziemski,illness,2024-11-06,2024-11-08,2,Unknown
 Brandin Podziemski,abdominal injury,2024-12-29,2025-01-23,25,Unknown
 Brandon Boston Jr. / B.J. Boston Jr.,quadriceps injury,2023-10-25,2023-12-11,47,Unknown
 Brandon Boston Jr. / B.J. Boston Jr.,illness,2023-12-12,2023-12-14,2,Unknown
 Brandon Clarke,sore left toe,2024-11-13,2024-11-15,2,Foot
 Brandon Clarke,sore right knee,2024-12-29,2025-01-03,5,Knee
 Brandon Clarke,left Achilles injury,2024-04-04,2024-04-06,2,Ankle
 Brandon Clarke,torn left Achilles tendon,2023-10-25,2024-03-27,154,Ankle
 Brandon Clarke,sore back,2025-02-03,2025-02-05,2,Back
 Brandon Ingram,sore right Achilles,2024-01-13,2024-01-15,2,Ankle
 Brandon Ingram,sore knee,2023-11-01,2023-11-04,3,Knee
 Brandon Ingram,illness,2024-02-22,2024-02-25,3,Unknown
 Brandon Ingram,sore right calf,2024-11-25,2024-12-05,10,Calf
 Brandon Ingram,bruised left knee,2024-03-22,2024-04-14,23,Knee
 Brandon Ingram,bilateral sprained ankles,2024-11-20,2024-11-22,2,Ankle
 Brandon Miller,sprained left ankle,2024-12-28,2025-01-05,8,Ankle
 Brandon Miller,sprained left ankle,2024-12-19,2024-12-26,7,Ankle
 Brandon Miller,bruised lower back,2024-03-01,2024-03-03,2,Back
 Brandon Miller,bruised lower back,2024-01-17,2024-01-19,2,Back
 Brandon Miller,strained left gluteal muscle,2024-10-24,2024-11-02,9,Unknown
 Brandon Miller,sprained right ankle,2023-12-26,2023-12-28,2,Ankle
 Brandon Miller,bruised left hip,2024-01-02,2024-01-04,2,Hip
 Brandon Miller,sprained left ankle,2023-11-30,2023-12-02,2,Ankle
 Brandon Miller,sprained left ankle,2023-11-14,2023-11-17,3,Ankle
 Brandon Williams (b. 1975-02-27),sprained right thumb,2024-12-09,2024-12-26,17,Unknown
 Brandon Williams (b. 1975-02-27),sprained left wrist,2024-03-12,2024-03-19,7,Wrist
 Braxton Key,illness,2024-02-22,2024-02-23,1,Unknown
 Brice Sensabaugh,sprained right ankle,2025-01-22,2025-01-24,2,Ankle
 Brice Sensabaugh,sore left hip,2024-02-08,2024-02-12,4,Hip
 Brice Sensabaugh,illness,2025-01-07,2025-01-12,5,Unknown
 Bronny James,illness,2025-01-13,2025-01-16,3,Unknown
 Bronny James,bruised left heel,2024-11-19,2024-12-07,18,Unknown
 Brook Lopez,back injury,2025-02-03,2025-02-04,1,Back
 Bruce Brown,bruised right knee,2023-12-26,2024-01-03,8,Knee
 Bruce Brown,bruised right knee,2024-01-06,2024-01-08,2,Knee
 Bruce Brown,right knee inflammation,2024-03-03,2024-03-11,8,Knee
 Bruce Brown,sore right knee,2024-04-03,2024-04-07,4,Knee
 Bruce Brown,right knee inflammation,2024-04-10,2024-04-12,2,Knee
 Bruce Brown,right knee injury,2025-01-09,2025-01-10,1,Knee
 Bruce Brown,placed on IL  surgery on right knee,2024-10-22,2024-12-29,68,Knee
 Bruce Brown,right knee injury,2025-01-01,2025-01-02,1,Knee
 Bruno Fernando,illness,2024-02-10,2024-02-12,2,Unknown
 Bruno Fernando,lower back spasms,2024-01-24,2024-02-02,9,Back
 Bruno Fernando,left big toe injury,2024-12-29,2024-12-31,2,Foot
 Bruno Fernando,sprained right ankle,2024-11-21,2024-11-24,3,Ankle
 Bryce McGowens,left hip injury,2024-01-17,2024-01-20,3,Hip
 Bryce McGowens,ankle injury,2023-10-25,2023-10-27,2,Ankle
 Bryce McGowens,strained right knee,2024-03-09,2024-03-25,16,Knee
 C.J. McCollum,collapsed right lung,2023-11-05,2023-11-29,24,Unknown
 C.J. McCollum,sprained left ankle,2024-02-24,2024-02-28,4,Ankle
 C.J. McCollum,sprained right ankle,2024-01-13,2024-01-15,2,Ankle
 C.J. McCollum,strained right adductor,2024-11-01,2024-11-25,24,Unknown
 Cade Cunningham,hip injury,2024-11-22,2024-11-29,7,Hip
 Cade Cunningham,left hip injury,2024-11-30,2024-12-02,2,Hip
 Cade Cunningham,left knee injury,2024-03-18,2024-03-19,1,Knee
 Cade Cunningham,left knee injury,2024-01-28,2024-01-31,3,Knee
 Cade Cunningham,strained left knee,2024-01-08,2024-01-27,19,Knee
 Cade Cunningham,left knee injury,2024-03-24,2024-03-27,3,Knee
 Cade Cunningham,left knee injury,2024-02-07,2024-02-08,1,Knee
 Caleb Houstan,sore right ankle,2024-04-01,2024-04-08,7,Ankle
 Caleb Houstan,illness,2025-02-03,2025-02-04,1,Unknown
 Caleb Martin,right shoulder impingement,2024-12-12,2024-12-21,9,Shoulder
 Caleb Martin,sore back,2024-11-27,2024-12-03,6,Back
 Caleb Martin,right ankle injury,2024-03-30,2024-04-02,3,Ankle
 Caleb Martin,sprained right ankle,2023-12-28,2024-01-12,15,Ankle
 Caleb Martin,left knee tendinosis,2023-10-28,2023-11-15,18,Knee
 Cam Reddish,right groin injury,2023-11-30,2023-12-02,2,Groin
 Cam Reddish,left groin injury,2023-12-28,2023-12-30,2,Groin
 Cam Reddish,left groin injury,2023-12-31,2024-01-03,3,Groin
 Cam Reddish,sore left knee,2024-01-14,2024-01-21,7,Knee
 Cam Reddish,sore right knee,2023-12-15,2023-12-17,2,Knee
 Cam Reddish,sprained right ankle,2024-03-10,2024-03-22,12,Ankle
 Cam Reddish,sprained right ankle,2024-04-16,2024-04-30,14,Ankle
 Cam Reddish,peroneal injury in right foot,2024-11-16,2024-11-18,2,Foot
 Cam Reddish,illness,2024-12-01,2024-12-02,1,Unknown
 Cam Reddish,back injury,2025-01-07,2025-01-10,3,Back
 Cam Reddish,groin injury,2023-11-22,2023-11-29,7,Groin
 Cam Reddish,sprained right ankle,2024-01-27,2024-02-28,32,Ankle
 Cam Spencer,sprained right ankle,2024-10-21,2024-11-20,30,Ankle
 Cam Whitmore,illness,2025-01-27,2025-01-28,1,Unknown
 Cam Whitmore,sprained right knee,2024-03-12,2024-03-31,19,Knee
 Cam Whitmore,sprained right ankle,2024-02-10,2024-02-21,11,Ankle
 Cam Whitmore,sore left knee,2024-11-18,2024-11-20,2,Knee
 Cameron Bairstow,placed on IL,2015-02-20,2015-02-21,1,Unknown
 Cameron Johnson,sprained right ankle,2025-01-04,2025-01-14,10,Ankle
 Cameron Johnson,sprained right ankle,2025-01-25,2025-02-05,11,Ankle
 Cameron Johnson,sprained right ankle,2025-01-15,2025-01-19,4,Ankle
 Cameron Johnson,hip injury,2024-12-27,2024-12-29,2,Hip
 Cameron Johnson,sprained left ankle,2024-12-02,2024-12-04,2,Ankle
 Cameron Johnson,sprained left big toe,2024-04-06,2024-04-10,4,Foot
 Cameron Johnson,sprained left big toe,2024-04-01,2024-04-03,2,Foot
 Cameron Johnson,sprained right ankle,2024-03-06,2024-03-13,7,Ankle
 Cameron Johnson,left adductor injury,2024-02-06,2024-02-14,8,Unknown
 Cameron Johnson,bruised left calf,2023-10-27,2023-11-10,14,Calf
 Cameron Johnson,sprained left big toe,2024-03-24,2024-03-31,7,Foot
 Cameron Payne,left elbow injury,2024-12-05,2024-12-09,4,Elbow
 Cameron Payne,strained left hamstring,2024-11-06,2024-11-12,6,Hamstring
 Cameron Payne,illness,2024-03-03,2024-03-05,2,Unknown
 Cameron Payne,concussion protocol,2024-01-07,2024-01-11,4,Head
 Cameron Payne,sore lower back,2023-04-16,2023-04-25,9,Back
 Cameron Thomas / Cam Thomas,sprained left ankle,2023-11-09,2023-11-30,21,Ankle
 Cameron Thomas / Cam Thomas,tightness in lower back,2024-11-19,2024-11-22,3,Back
 Cameron Thomas / Cam Thomas,strained left hamstring,2024-11-26,2024-12-29,33,Hamstring
 Cameron Thomas / Cam Thomas,left hamstring injury,2024-12-31,2025-01-02,2,Hamstring
 Cameron Thomas / Cam Thomas,tightness in lower back,2024-03-25,2024-03-27,2,Back
 Cameron Thomas / Cam Thomas,sprained right ankle,2024-02-27,2024-03-09,11,Ankle
 Caris LeVert,sore right wrist,2024-03-29,2024-03-31,2,Wrist
 Caris LeVert,sprained right elbow,2024-03-03,2024-03-05,2,Elbow
 Caris LeVert,sore left knee,2024-04-13,2024-04-19,6,Knee
 Caris LeVert,sprained right wrist,2024-01-20,2024-01-24,4,Wrist
 Caris LeVert,left knee tendinitis,2023-12-23,2023-12-27,4,Knee
 Caris LeVert,left knee injury,2023-12-06,2023-12-12,6,Knee
 Caris LeVert,left hamstring injury,2023-10-31,2023-11-01,1,Hamstring
 Caris LeVert,sore right knee,2024-11-02,2024-11-06,4,Knee
 Caris LeVert,left knee inflammation,2024-11-19,2024-11-29,10,Knee
 Caris LeVert,wrist injury,2025-01-20,2025-02-02,13,Wrist
 Caris LeVert,sore left knee,2023-11-19,2023-11-22,3,Knee
 Caron Butler,back spasms,2015-02-11,2015-02-20,9,Back
 Cason Wallace,bruised left quadriceps,2024-12-27,2024-12-29,2,Unknown
 Cedi Osman,sprained left ankle,2024-03-08,2024-03-17,9,Ankle
 Chris Boucher,illness,2025-02-04,2025-02-05,1,Unknown
 Chris Boucher,illness,2024-02-28,2024-03-01,2,Unknown
 Chris Duarte,sore left knee,2023-12-04,2023-12-08,4,Knee
 Chris Duarte,sprained right ankle,2024-02-07,2024-02-13,6,Ankle
 Chris Kaman,ankle injury,2015-02-11,2015-02-20,9,Ankle
 Chris Livingston,sprained left ankle,2023-12-11,2023-12-15,4,Ankle
 Chris Livingston,sprained left ankle,2023-11-12,2023-11-22,10,Ankle
 Chris Livingston,illness,2024-12-25,2024-12-28,3,Unknown
 Chris Livingston,sprained left ankle,2024-12-04,2024-12-14,10,Ankle
 Chris Livingston,illness,2024-04-26,2024-04-29,3,Unknown
 Chris Livingston,sprained left ankle,2024-03-17,2024-03-20,3,Ankle
 Chris Livingston,strained right groin,2024-03-04,2024-03-06,2,Groin
 Chris Livingston,illness,2024-01-14,2024-01-16,2,Unknown
 Chris Paul,fractured hand,2024-01-06,2024-02-26,51,Hand/Finger
 Chris Paul,illness,2023-12-08,2023-12-11,3,Unknown
 Chris Paul,bruised nerve in left lower leg,2023-11-29,2023-12-06,7,Unknown
 Christian Braun,strained lower back,2024-12-16,2024-12-19,3,Back
 Christian Koloko,respiratory ailment,2023-10-02,2024-01-17,107,Unknown
 Christian Koloko,blood clots,2024-10-21,2024-10-29,8,Unknown
 Christian Wood,migraine headache,2024-01-11,2024-01-13,2,Unknown
 Christian Wood,left knee injury,2024-02-21,2024-04-27,66,Knee
 Clint Capela,sore right Achilles,2024-01-10,2024-01-12,2,Ankle
 Clint Capela,strained left adductor,2024-02-04,2024-02-22,18,Unknown
 Clint Capela,sore right knee,2025-01-23,2025-01-24,1,Knee
 Clint Capela,sore left knee,2023-12-16,2023-12-18,2,Knee
 Coby White,sore ankle,2025-01-23,2025-01-29,6,Ankle
 Coby White,sprained left ankle,2024-12-02,2024-12-06,4,Ankle
 Coby White,sore right hip,2024-03-14,2024-03-21,7,Hip
 Cody Martin,bruised right knee,2024-02-04,2024-02-07,3,Knee
 Cody Martin,sore left knee,2023-10-24,2023-12-23,60,Knee
 Cody Martin,strained groin,2024-01-08,2024-01-14,6,Groin
 Cody Martin,bruised right knee,2024-01-22,2024-01-24,2,Knee
 Cody Martin,sore left knee,2024-12-28,2025-01-03,6,Knee
 Cody Zeller,bruised/sore left knee,2024-02-12,2024-02-22,10,Knee
 Cody Zeller,sprained right ankle,2023-12-23,2023-12-26,3,Ankle
 Colby Jones,sore lower back,2023-12-07,2023-12-11,4,Back
 Cole Anthony,illness,2025-01-21,2025-01-25,4,Unknown
 Cole Anthony,bruised quadriceps,2024-01-03,2024-01-04,1,Unknown
 Colin Castleton,fractured right wrist,2024-02-25,2024-03-27,31,Wrist
 Collin Gillespie,fractured right ankle,2024-11-12,2025-01-05,54,Ankle
 Corey Kispert,illness,2024-02-25,2024-02-27,2,Unknown
 Corey Kispert,sprained left ankle,2023-11-03,2023-11-06,3,Ankle
 Craig Porter Jr.,illness,2024-03-29,2024-04-06,8,Unknown
 Craig Porter Jr.,sprained right thumb,2024-10-28,2024-11-02,5,Unknown
 Craig Porter Jr.,sprained left ankle,2024-12-16,2024-12-19,3,Ankle
 Craig Porter Jr.,illness,2025-02-02,2025-02-03,1,Unknown
 D'Angelo Russell,sprained left thumb,2024-12-25,2024-12-28,3,Unknown
 D'Angelo Russell,illness,2024-12-01,2024-12-02,1,Unknown
 D'Angelo Russell,illness,2024-03-24,2024-03-25,1,Unknown
 D'Angelo Russell,sore left knee,2024-02-08,2024-02-09,1,Knee
 D'Angelo Russell,bruised right shin,2025-01-15,2025-01-16,1,Unknown
 D'Angelo Russell,migraine headache,2023-12-15,2023-12-18,3,Unknown
 D'Angelo Russell,left hamstring injury,2025-01-22,2025-01-25,3,Hamstring
 D'Angelo Russell,bruised right shin,2025-01-12,2025-01-14,2,Unknown
 D'Angelo Russell,bruised tailbone,2024-01-05,2024-01-07,2,Unknown
 D.J. Carton,ankle injury,2024-11-18,2024-11-29,11,Ankle
 DaQuan Jeffries,illness,2025-01-12,2025-01-15,3,Unknown
 DaQuan Jeffries,thigh injury,2025-01-03,2025-01-05,2,Unknown
 DaQuan Jeffries,illness,2023-12-05,2023-12-07,2,Unknown
 DaQuan Jeffries,fractured hand,2024-10-09,2024-12-03,55,Hand/Finger
 DaQuan Jeffries,illness,2023-12-23,2023-12-24,1,Unknown
 Daishen Nix,sprained right ankle,2024-12-24,2024-12-31,7,Ankle
 Dalano Banton,sprained left ankle,2024-04-11,2024-04-12,1,Ankle
 Dalano Banton,bruised left hip,2024-12-19,2024-12-23,4,Hip
 Dalano Banton,bruised left hip,2024-12-26,2025-01-02,7,Hip
 Dalano Banton,illness,2023-12-15,2023-12-17,2,Unknown
 Dalen Terry,sprained right ankle,2024-01-31,2024-02-06,6,Ankle
 Dalen Terry,bruised right knee,2024-12-13,2024-12-21,8,Knee
 Dalen Terry,left knee tendinitis,2023-11-11,2023-11-20,9,Knee
 Damian Lillard,sore left groin,2025-02-03,2025-02-05,2,Groin
 Damian Lillard,concussion protocol,2024-11-11,2024-11-18,7,Head
