Player,Injury,Start Date,Return Date,Days Missed,Injury Category
 Anfernee Simons,Illness,2024-11-13,2024-11-22,9,General Illness
 Anfernee Simons,Strained Right Elbow,2025-01-19,2025-01-21,2,Arm/Elbow
 Anthony Black,Back Spasms,2025-01-01,2025-01-05,4,Back/Spine
 Anthony Davis,Achilles Injury,2024-01-30,2024-02-03,4,Ankle
 Anthony Davis,Hyperextended Left Knee,2024-03-27,2024-03-29,2,Knee
 Anthony Davis,Headache,2024-04-09,2024-04-12,3,Head
 Anthony Davis,Heel Injury,2024-11-06,2024-11-08,2,Foot/Toe
 Anthony Davis,Plantar Fasciitis In Left Foot,2025-01-17,2025-01-19,2,Foot/Toe
 Anthony Davis,Left Adductor Injury,2023-12-15,2023-12-18,3,General Injury
 Anthony Davis,Left Adductor Injury,2023-11-08,2023-11-10,2,General Injury
 Anthony Edwards,Illness,2025-02-01,2025-02-03,2,General Illness
 Anthony Edwards,Right Hip Pointer,2023-12-11,2023-12-14,3,Hip/Groin
 Anthony Edwards,Right Hip Pointer,2023-11-30,2023-12-06,6,Hip/Groin
 Anthony Gill,Sore Right Knee,2024-04-07,2024-04-09,2,Knee
 Anthony Gill,Left Hamstring Injury,2023-10-12,2023-10-28,16,Thigh
 Ariel Hukporti,Illness,2025-01-25,2025-01-27,2,General Illness
 Ariel Hukporti,Sprained Left Ankle,2024-12-11,2024-12-19,8,Ankle
 Arron Afflalo,Unknown,2015-02-20,2015-02-22,2,Other/Unspecified
 Ausar Thompson,Illness,2025-01-06,2025-01-09,3,General Illness
 Ausar Thompson,Groin Injury,2024-12-07,2024-12-11,4,Hip/Groin
 Ausar Thompson,Blood Clots,2024-10-21,2024-11-11,21,Other/Unspecified
 Austin Reaves,Bruised Pelvis,2024-12-01,2024-12-13,12,Hip/Groin
 Austin Rivers,Left Ankle Injury / Sore Left Foot,2015-02-19,2015-02-21,2,Ankle
 Ayo Dosunmu,Illness,2023-11-03,2023-11-06,3,General Illness
 Ayo Dosunmu,Strained Right Calf,2024-12-28,2025-01-15,18,Calf/Shin
 Ayo Dosunmu,Strained Soleus Muscle In Right Calf,2025-01-20,2025-01-22,2,Calf/Shin
 Ben Sheppard,Strained Left Oblique,2024-11-18,2024-12-19,31,Abdomen/Core
 Ben Sheppard,Illness,2024-03-01,2024-03-05,4,General Illness
 Ben Simmons,Sore Left Hip,2023-11-08,2024-01-29,82,Hip/Groin
 Ben Simmons,Bruised Left Knee,2024-01-31,2024-02-01,1,Knee
 Ben Simmons,Lower Back Injury,2024-02-04,2024-02-06,2,Back/Spine
 Ben Simmons,Left Knee Injury,2024-02-14,2024-02-21,7,Knee
 Ben Simmons,Lower Back Injury,2024-02-27,2024-02-28,1,Back/Spine
 Ben Simmons,Back Injury,2023-11-04,2023-11-06,2,Back/Spine
 Ben Simmons,Lower Back Injury,2024-11-04,2024-11-07,3,Back/Spine
 Ben Simmons,Tightness In Left Calf,2024-11-13,2024-11-14,1,Calf/Shin
 Ben Simmons,Bruised Left Knee / Lower Back Injury,2024-12-02,2024-12-04,2,Back/Spine
 Ben Simmons,Sore Left Calf / Various Injuries,2025-01-04,2025-01-09,5,Calf/Shin
 Ben Simmons,Lower Back Injury,2025-01-15,2025-01-16,1,Back/Spine
 Ben Simmons,Illness,2025-01-21,2025-01-25,4,General Illness
 Ben Simmons,Sore Lower Back,2025-01-25,2025-01-28,3,Back/Spine
 Ben Simmons,Back Injury,2025-02-03,2025-02-05,2,Back/Spine
 Ben Simmons,Lower Back Injury,2024-10-28,2024-10-30,2,Back/Spine
 Ben Simmons,Lower Back Injury,2024-11-08,2024-11-11,3,Back/Spine
 Bennedict Mathurin,Illness,2024-02-06,2024-02-08,2,General Illness
 Bennedict Mathurin,Bruised Right Knee,2024-02-14,2024-02-22,8,Knee
 Bennedict Mathurin,Toe Injury,2024-01-30,2024-02-02,3,Foot/Toe
 Bennedict Mathurin,Illness,2025-01-29,2025-01-31,2,General Illness
 Bilal Coulibaly,Sore Right Groin,2024-12-23,2024-12-26,3,Hip/Groin
 Bilal Coulibaly,Head Injury,2024-11-18,2024-11-21,3,Head
 Bilal Coulibaly,Illness,2025-01-02,2025-01-07,5,General Illness
 Bilal Coulibaly,Bruised Left Knee,2023-11-24,2023-11-25,1,Knee
 Bilal Coulibaly,Bruised Pelvis,2024-02-26,2024-03-03,6,Hip/Groin
 Bismack Biyombo,Sore Back,2023-12-18,2023-12-19,1,Back/Spine
 Blake Griffin,Sore Lower Back,2023-05-05,2023-05-07,2,Back/Spine
 Bobby Portis,Bruised Right Elbow,2024-11-13,2024-11-16,3,Arm/Elbow
 Bogdan Bogdanovic,Bruised Left Lower Leg,2025-01-04,2025-01-07,3,Soft Tissue
 Bogdan Bogdanovic,Bruised Quadriceps,2024-12-08,2024-12-11,3,Thigh
 Bogdan Bogdanovic,Right Hamstring Injury,2024-11-30,2024-12-02,2,Thigh
 Bogdan Bogdanovic,Right Hamstring Injury,2024-10-24,2024-11-18,25,Thigh
 Bogdan Bogdanovic,Illness,2024-03-15,2024-03-17,2,General Illness
 Bogdan Bogdanovic,Sprained Right Ankle,2023-12-16,2023-12-20,4,Ankle
 Bogdan Bogdanovic,Bruised Left Lower Leg,2024-12-26,2025-01-03,8,Soft Tissue
 Bojan Bogdanovic,Strained Calf,2023-10-24,2023-12-02,39,Calf/Shin
 Bojan Bogdanovic,Sore Left Calf,2024-02-14,2024-02-20,6,Calf/Shin
 Bojan Bogdanovic,Sore Left Calf,2024-01-12,2024-01-17,5,Calf/Shin
 Bojan Bogdanovic,Sore Left Calf,2024-02-08,2024-02-10,2,Calf/Shin
 Bol Bol,Sore/Sprained Right Foot,2024-01-14,2024-01-31,17,Foot/Toe
 Bol Bol,Sprained Right Ankle,2024-01-06,2024-01-10,4,Ankle
 Bol Bol,Bruised Left Knee,2024-12-21,2024-12-31,10,Knee
 Bradley Beal,Right Knee Injury,2024-12-13,2024-12-19,6,Knee
 Bradley Beal,Sore Right Elbow,2024-10-26,2024-10-28,2,Arm/Elbow
 Bradley Beal,Sprained Right Elbow,2024-10-31,2024-11-02,2,Arm/Elbow
 Bradley Beal,Bruised Left Calf,2024-11-13,2024-11-25,12,Calf/Shin
 Bradley Beal,Left Hamstring Injury,2024-02-14,2024-03-02,17,Thigh
 Bradley Beal,Tightness In Lower Back,2023-10-24,2023-11-08,15,Back/Spine
 Bradley Beal,Back Spasms / Strained Lower Back,2023-11-15,2023-12-29,44,Back/Spine
 Bradley Beal,Left Calf Injury,2024-11-30,2024-12-03,3,Calf/Shin
 Bradley Beal,Sprained Left Ankle,2025-01-22,2025-01-25,3,Ankle
 Bradley Beal,Sprained Left Ankle,2025-01-16,2025-01-20,4,Ankle
 Brandin Podziemski,Sore Right Knee,2024-03-01,2024-03-05,4,Knee
 Brandin Podziemski,Illness,2024-11-06,2024-11-08,2,General Illness
 Brandin Podziemski,Abdominal Injury,2024-12-29,2025-01-23,25,Abdomen/Core
 Brandon Boston Jr. / B.J. Boston Jr.,Quadriceps Injury,2023-10-25,2023-12-11,47,Thigh
 Brandon Boston Jr. / B.J. Boston Jr.,Illness,2023-12-12,2023-12-14,2,General Illness
 Brandon Clarke,Sore Left Toe,2024-11-13,2024-11-15,2,Foot/Toe
 Brandon Clarke,Sore Right Knee,2024-12-29,2025-01-03,5,Knee
 Brandon Clarke,Left Achilles Injury,2024-04-04,2024-04-06,2,Ankle
 Brandon Clarke,Torn Left Achilles Tendon,2023-10-25,2024-03-27,154,Ankle
 Brandon Clarke,Sore Back,2025-02-03,2025-02-05,2,Back/Spine
 Brandon Ingram,Sore Right Achilles,2024-01-13,2024-01-15,2,Ankle
 Brandon Ingram,Sore Knee,2023-11-01,2023-11-04,3,Knee
 Brandon Ingram,Illness,2024-02-22,2024-02-25,3,General Illness
 Brandon Ingram,Sore Right Calf,2024-11-25,2024-12-05,10,Calf/Shin
 Brandon Ingram,Bruised Left Knee,2024-03-22,2024-04-14,23,Knee
 Brandon Ingram,Bilateral Sprained Ankles,2024-11-20,2024-11-22,2,Ankle
 Brandon Miller,Sprained Left Ankle,2024-12-28,2025-01-05,8,Ankle
 Brandon Miller,Sprained Left Ankle,2024-12-19,2024-12-26,7,Ankle
 Brandon Miller,Bruised Lower Back,2024-03-01,2024-03-03,2,Back/Spine
 Brandon Miller,Bruised Lower Back,2024-01-17,2024-01-19,2,Back/Spine
 Brandon Miller,Strained Left Gluteal Muscle,2024-10-24,2024-11-02,9,Abdomen/Core
 Brandon Miller,Sprained Right Ankle,2023-12-26,2023-12-28,2,Ankle
 Brandon Miller,Bruised Left Hip,2024-01-02,2024-01-04,2,Hip/Groin
 Brandon Miller,Sprained Left Ankle,2023-11-30,2023-12-02,2,Ankle
 Brandon Miller,Sprained Left Ankle,2023-11-14,2023-11-17,3,Ankle
Brandon Williams (b. 1975-02-27),Sprained Right Thumb,2024-12-09,2024-12-26,17,Wrist/Hand/Finger
Brandon Williams (b. 1975-02-27),Sprained Left Wrist,2024-03-12,2024-03-19,7,Wrist/Hand/Finger
 Braxton Key,Illness,2024-02-22,2024-02-23,1,General Illness
 Brice Sensabaugh,Sprained Right Ankle,2025-01-22,2025-01-24,2,Ankle
 Brice Sensabaugh,Sore Left Hip,2024-02-08,2024-02-12,4,Hip/Groin
 Brice Sensabaugh,Illness,2025-01-07,2025-01-12,5,General Illness
 Bronny James,Illness,2025-01-13,2025-01-16,3,General Illness
 Bronny James,Bruised Left Heel,2024-11-19,2024-12-07,18,Foot/Toe
 Brook Lopez,Back Injury,2025-02-03,2025-02-04,1,Back/Spine
 Bruce Brown,Bruised Right Knee,2023-12-26,2024-01-03,8,Knee
 Bruce Brown,Bruised Right Knee,2024-01-06,2024-01-08,2,Knee
 Bruce Brown,Right Knee Inflammation,2024-03-03,2024-03-11,8,Knee
 Bruce Brown,Sore Right Knee,2024-04-03,2024-04-07,4,Knee
 Bruce Brown,Right Knee Inflammation,2024-04-10,2024-04-12,2,Knee
 Bruce Brown,Right Knee Injury,2025-01-09,2025-01-10,1,Knee
 Bruce Brown,Unknown  Surgery On Right Knee,2024-10-22,2024-12-29,68,Knee
 Bruce Brown,Right Knee Injury,2025-01-01,2025-01-02,1,Knee
 Bruno Fernando,Illness,2024-02-10,2024-02-12,2,General Illness
 Bruno Fernando,Lower Back Spasms,2024-01-24,2024-02-02,9,Back/Spine
 Bruno Fernando,Left Big Toe Injury,2024-12-29,2024-12-31,2,Foot/Toe
 Bruno Fernando,Sprained Right Ankle,2024-11-21,2024-11-24,3,Ankle
 Bryce McGowens,Left Hip Injury,2024-01-17,2024-01-20,3,Hip/Groin
 Bryce McGowens,Ankle Injury,2023-10-25,2023-10-27,2,Ankle
 Bryce McGowens,Strained Right Knee,2024-03-09,2024-03-25,16,Knee
 C.J. McCollum,Collapsed Right Lung,2023-11-05,2023-11-29,24,Other/Unspecified
 C.J. McCollum,Sprained Left Ankle,2024-02-24,2024-02-28,4,Ankle
 C.J. McCollum,Sprained Right Ankle,2024-01-13,2024-01-15,2,Ankle
 C.J. McCollum,Strained Right Adductor,2024-11-01,2024-11-25,24,Other/Unspecified
 Cade Cunningham,Hip Injury,2024-11-22,2024-11-29,7,Hip/Groin
 Cade Cunningham,Left Hip Injury,2024-11-30,2024-12-02,2,Hip/Groin
 Cade Cunningham,Left Knee Injury,2024-03-18,2024-03-19,1,Knee
 Cade Cunningham,Left Knee Injury,2024-01-28,2024-01-31,3,Knee
 Cade Cunningham,Strained Left Knee,2024-01-08,2024-01-27,19,Knee
 Cade Cunningham,Left Knee Injury,2024-03-24,2024-03-27,3,Knee
 Cade Cunningham,Left Knee Injury,2024-02-07,2024-02-08,1,Knee
 Caleb Houstan,Sore Right Ankle,2024-04-01,2024-04-08,7,Ankle
 Caleb Houstan,Illness,2025-02-03,2025-02-04,1,General Illness
 Caleb Martin,Right Shoulder Impingement,2024-12-12,2024-12-21,9,Shoulder
 Caleb Martin,Sore Back,2024-11-27,2024-12-03,6,Back/Spine
 Caleb Martin,Right Ankle Injury,2024-03-30,2024-04-02,3,Ankle
 Caleb Martin,Sprained Right Ankle,2023-12-28,2024-01-12,15,Ankle
 Caleb Martin,Left Knee Tendinosis,2023-10-28,2023-11-15,18,Knee
 Cam Reddish,Right Groin Injury,2023-11-30,2023-12-02,2,Hip/Groin
 Cam Reddish,Left Groin Injury,2023-12-28,2023-12-30,2,Hip/Groin
 Cam Reddish,Left Groin Injury,2023-12-31,2024-01-03,3,Hip/Groin
 Cam Reddish,Sore Left Knee,2024-01-14,2024-01-21,7,Knee
 Cam Reddish,Sore Right Knee,2023-12-15,2023-12-17,2,Knee
 Cam Reddish,Sprained Right Ankle,2024-03-10,2024-03-22,12,Ankle
 Cam Reddish,Sprained Right Ankle,2024-04-16,2024-04-30,14,Ankle
 Cam Reddish,Peroneal Injury In Right Foot,2024-11-16,2024-11-18,2,Foot/Toe
 Cam Reddish,Illness,2024-12-01,2024-12-02,1,General Illness
 Cam Reddish,Back Injury,2025-01-07,2025-01-10,3,Back/Spine
 Cam Reddish,Groin Injury,2023-11-22,2023-11-29,7,Hip/Groin
 Cam Reddish,Sprained Right Ankle,2024-01-27,2024-02-28,32,Ankle
 Cam Spencer,Sprained Right Ankle,2024-10-21,2024-11-20,30,Ankle
 Cam Whitmore,Illness,2025-01-27,2025-01-28,1,General Illness
 Cam Whitmore,Sprained Right Knee,2024-03-12,2024-03-31,19,Knee
 Cam Whitmore,Sprained Right Ankle,2024-02-10,2024-02-21,11,Ankle
 Cam Whitmore,Sore Left Knee,2024-11-18,2024-11-20,2,Knee
 Cameron Bairstow,Unknown,2015-02-20,2015-02-21,1,Other/Unspecified
 Cameron Johnson,Sprained Right Ankle,2025-01-04,2025-01-14,10,Ankle
 Cameron Johnson,Sprained Right Ankle,2025-01-25,2025-02-05,11,Ankle
 Cameron Johnson,Sprained Right Ankle,2025-01-15,2025-01-19,4,Ankle
 Cameron Johnson,Hip Injury,2024-12-27,2024-12-29,2,Hip/Groin
 Cameron Johnson,Sprained Left Ankle,2024-12-02,2024-12-04,2,Ankle
 Cameron Johnson,Sprained Left Big Toe,2024-04-06,2024-04-10,4,Foot/Toe
 Cameron Johnson,Sprained Left Big Toe,2024-04-01,2024-04-03,2,Foot/Toe
 Cameron Johnson,Sprained Right Ankle,2024-03-06,2024-03-13,7,Ankle
 Cameron Johnson,Left Adductor Injury,2024-02-06,2024-02-14,8,General Injury
 Cameron Johnson,Bruised Left Calf,2023-10-27,2023-11-10,14,Calf/Shin
 Cameron Johnson,Sprained Left Big Toe,2024-03-24,2024-03-31,7,Foot/Toe
 Cameron Payne,Left Elbow Injury,2024-12-05,2024-12-09,4,Arm/Elbow
 Cameron Payne,Strained Left Hamstring,2024-11-06,2024-11-12,6,Thigh
 Cameron Payne,Illness,2024-03-03,2024-03-05,2,General Illness
 Cameron Payne,Concussion Protocol,2024-01-07,2024-01-11,4,Head
 Cameron Payne,Sore Lower Back,2023-04-16,2023-04-25,9,Back/Spine
 Cameron Thomas / Cam Thomas,Sprained Left Ankle,2023-11-09,2023-11-30,21,Ankle
 Cameron Thomas / Cam Thomas,Tightness In Lower Back,2024-11-19,2024-11-22,3,Back/Spine
 Cameron Thomas / Cam Thomas,Strained Left Hamstring,2024-11-26,2024-12-29,33,Thigh
 Cameron Thomas / Cam Thomas,Left Hamstring Injury,2024-12-31,2025-01-02,2,Thigh
 Cameron Thomas / Cam Thomas,Tightness In Lower Back,2024-03-25,2024-03-27,2,Back/Spine
 Cameron Thomas / Cam Thomas,Sprained Right Ankle,2024-02-27,2024-03-09,11,Ankle
 Caris LeVert,Sore Right Wrist,2024-03-29,2024-03-31,2,Wrist/Hand/Finger
 Caris LeVert,Sprained Right Elbow,2024-03-03,2024-03-05,2,Arm/Elbow
 Caris LeVert,Sore Left Knee,2024-04-13,2024-04-19,6,Knee
 Caris LeVert,Sprained Right Wrist,2024-01-20,2024-01-24,4,Wrist/Hand/Finger
 Caris LeVert,Left Knee Tendinitis,2023-12-23,2023-12-27,4,Knee
 Caris LeVert,Left Knee Injury,2023-12-06,2023-12-12,6,Knee
 Caris LeVert,Left Hamstring Injury,2023-10-31,2023-11-01,1,Thigh
 Caris LeVert,Sore Right Knee,2024-11-02,2024-11-06,4,Knee
 Caris LeVert,Left Knee Inflammation,2024-11-19,2024-11-29,10,Knee
 Caris LeVert,Wrist Injury,2025-01-20,2025-02-02,13,Wrist/Hand/Finger
 Caris LeVert,Sore Left Knee,2023-11-19,2023-11-22,3,Knee
 Caron Butler,Back Spasms,2015-02-11,2015-02-20,9,Back/Spine
 Cason Wallace,Bruised Left Quadriceps,2024-12-27,2024-12-29,2,Thigh
 Cedi Osman,Sprained Left Ankle,2024-03-08,2024-03-17,9,Ankle
 Chris Boucher,Illness,2025-02-04,2025-02-05,1,General Illness
 Chris Boucher,Illness,2024-02-28,2024-03-01,2,General Illness
 Chris Duarte,Sore Left Knee,2023-12-04,2023-12-08,4,Knee
 Chris Duarte,Sprained Right Ankle,2024-02-07,2024-02-13,6,Ankle
 Chris Kaman,Ankle Injury,2015-02-11,2015-02-20,9,Ankle
 Chris Livingston,Sprained Left Ankle,2023-12-11,2023-12-15,4,Ankle
 Chris Livingston,Sprained Left Ankle,2023-11-12,2023-11-22,10,Ankle
 Chris Livingston,Illness,2024-12-25,2024-12-28,3,General Illness
 Chris Livingston,Sprained Left Ankle,2024-12-04,2024-12-14,10,Ankle
 Chris Livingston,Illness,2024-04-26,2024-04-29,3,General Illness
 Chris Livingston,Sprained Left Ankle,2024-03-17,2024-03-20,3,Ankle
 Chris Livingston,Strained Right Groin,2024-03-04,2024-03-06,2,Hip/Groin
 Chris Livingston,Illness,2024-01-14,2024-01-16,2,General Illness
 Chris Paul,Fractured Hand,2024-01-06,2024-02-26,51,Face/Nose
 Chris Paul,Illness,2023-12-08,2023-12-11,3,General Illness
 Chris Paul,Bruised Nerve In Left Lower Leg,2023-11-29,2023-12-06,7,Soft Tissue
 Christian Braun,Strained Lower Back,2024-12-16,2024-12-19,3,Back/Spine
 Christian Koloko,Respiratory Ailment,2023-10-02,2024-01-17,107,General Illness
 Christian Koloko,Blood Clots,2024-10-21,2024-10-29,8,Other/Unspecified
 Christian Wood,Migraine Headache,2024-01-11,2024-01-13,2,Head
 Christian Wood,Left Knee Injury,2024-02-21,2024-04-27,66,Knee
 Clint Capela,Sore Right Achilles,2024-01-10,2024-01-12,2,Ankle
 Clint Capela,Strained Left Adductor,2024-02-04,2024-02-22,18,Other/Unspecified
 Clint Capela,Sore Right Knee,2025-01-23,2025-01-24,1,Knee
 Clint Capela,Sore Left Knee,2023-12-16,2023-12-18,2,Knee
 Coby White,Sore Ankle,2025-01-23,2025-01-29,6,Ankle
 Coby White,Sprained Left Ankle,2024-12-02,2024-12-06,4,Ankle
 Coby White,Sore Right Hip,2024-03-14,2024-03-21,7,Hip/Groin
 Cody Martin,Bruised Right Knee,2024-02-04,2024-02-07,3,Knee
 Cody Martin,Sore Left Knee,2023-10-24,2023-12-23,60,Knee
 Cody Martin,Strained Groin,2024-01-08,2024-01-14,6,Hip/Groin
 Cody Martin,Bruised Right Knee,2024-01-22,2024-01-24,2,Knee
